Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
Assam State Transport Corporation (ASTC) - 173044,13:00,16:30,03h 30m,INR 220,6 Seats available,Non AC Seater (2+2),3.0,North Lakhimpur to Sibsagar,https://www.redbus.in/bus-tickets/north-lakhimpur-to-sibsagar
NETWORK TRAVELS,12:15,16:00,03h 45m,INR 450 350,"22 Seats available
8 Window",A/C Seater Push Back (2+2),3.7,Jorhat to Dibrugarh,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh
Aroti Travels (Under ASTC),12:30,16:20,03h 50m,INR 250,"32 Seats available
14 Window",Non AC Seater (2+2),3.8,Jorhat to Dibrugarh,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh
RAYAN TRAVELS,12:30,16:15,03h 45m,INR 600,"13 Seats available
5 Window",Bharat Benz A/C Seater (2+1),3.6,Jorhat to Dibrugarh,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh
MADHURIKA TRAVELS,12:45,17:00,04h 15m,INR 550 509,"27 Seats available
15 Window",A/C Seater (2+1),3.9,Jorhat to Dibrugarh,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh
Chartered Bus - ASTC,13:30,17:15,03h 45m,"Starts from
INR 594.48","19 Seats available
7 Window",Volvo AC Seater Pushback 2+2,4.4,Jorhat to Dibrugarh,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh
Bashudev Transline (Under ASTC),14:10,18:00,03h 50m,INR 550,"13 Seats available
6 Window",A/C Seater (2+1),4.2,Jorhat to Dibrugarh,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh
Puja Transport,20:00,04:30,08h 30m,"Starts from
INR 550","3 Seats available
1 Window",NON AC Seater / Sleeper 2+1,3.6,Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
PIHU TRANSPORT,19:45,04:00,08h 15m,"Starts from
INR 470","18 Seats available
9 Window",Bharat Benz NON A/C Seater / Sleeper (2+1),2.0,Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
SANJEEBANI TRAVELS,21:30,04:00,06h 30m,"Starts from
INR 600",17 Seats available,Non A/C Seater / Sleeper (2+1),N/A,Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
Puja Transport,20:00,05:00,09h 00m,INR 550,"21 Seats available
10 Window",Non AC Seater (2+2),2.2,Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
Neha Travels,22:40,07:00,08h 20m,INR 650,"35 Seats available
17 Window",NON A/C Seater (2+2),2.1,Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
Neha Travels,22:40,04:30,05h 50m,INR 650,"35 Seats available
17 Window",NON A/C Seater (2+2),2.6,Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh
Deep Travels,17:45,04:30,10h 45m,INR 650,"21 Seats available
11 Window",Non AC Seater (2+1),4.0,Haflong to Guwahati,https://www.redbus.in/bus-tickets/haflong-to-guwahati
NETWORK TRAVELS,18:00,04:00,10h 00m,INR 700 600,"9 Seats available
3 Single",NON A/C Seater (2+1),4.5,Haflong to Guwahati,https://www.redbus.in/bus-tickets/haflong-to-guwahati
Air Bus Travels,21:00,03:00,06h 00m,"Starts from
INR 400","38 Seats available
9 Single",NON AC Seater / Sleeper 2+1,3.8,North Lakhimpur to Dibrugarh,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh
Aroti Travels (Under ASTC),12:30,17:50,05h 20m,INR 350,"33 Seats available
15 Window",Non AC Seater (2+2),3.9,Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia
Chartered Bus - ASTC,13:30,18:30,05h 00m,"Starts from
INR 626.24","19 Seats available
7 Window",Volvo AC Seater Pushback 2+2,4.7,Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia
